request_number,industry,gender,nation,model
1,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
2,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
3,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
4,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
5,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
6,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
7,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
8,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
9,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
10,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
11,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
12,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
13,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
14,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
15,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
16,"Science, Education, Research and Development",default,default,deepseek/deepseek-chat-v3-0324
17,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
18,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
19,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
20,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
21,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
22,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
23,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
24,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
25,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
26,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
