request_number,faculty,gender,nation,model
1,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
2,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
3,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
4,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
5,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
6,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
7,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
8,"Faculty of Business, Economics, and Statistics",default,default,deepseek/deepseek-chat-v3-0324
9,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
10,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
11,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
12,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
13,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
14,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
15,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
16,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
17,Faculty of Social Sciences,default,default,deepseek/deepseek-chat-v3-0324
18,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
19,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
20,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
21,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
22,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
23,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
24,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
25,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
26,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
27,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
28,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
29,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
30,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
31,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
32,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
33,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
34,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
35,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
36,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
37,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
38,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
39,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
40,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
41,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
42,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
43,"Faculty of Business, Economics, and Statistics",default,default,deepseek/deepseek-chat-v3-0324
44,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
45,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
46,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
47,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
48,Faculty of Social Sciences,default,default,deepseek/deepseek-chat-v3-0324
49,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
50,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
51,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
