request_number,industry,gender,nation,model
1,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
2,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
3,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
4,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
5,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
6,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
7,"Social Services, Health, Beauty Care",default,default,openai/gpt-4o-mini
8,Environment,default,default,openai/gpt-4o-mini
9,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
10,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
11,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
12,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
13,Environment,default,default,openai/gpt-4o-mini
14,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
15,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
16,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
17,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
18,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
19,Environment,default,default,openai/gpt-4o-mini
20,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
21,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
22,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
23,Environment,default,default,openai/gpt-4o-mini
24,"Social Services, Health, Beauty Care",default,default,openai/gpt-4o-mini
25,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
26,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
27,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
28,Environment,default,default,openai/gpt-4o-mini
29,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
30,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
31,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
32,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
33,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
34,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
35,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
36,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
37,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
38,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
39,Environment,default,default,openai/gpt-4o-mini
40,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
41,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
42,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
43,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
44,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
45,"Social Services, Health, Beauty Care",default,default,openai/gpt-4o-mini
46,Environment,default,default,openai/gpt-4o-mini
47,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
48,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
49,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
50,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
51,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
52,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
53,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
54,"Tourism, Hospitality, Leisure",default,default,openai/gpt-4o-mini
55,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
56,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
57,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
58,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
59,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
60,Environment,default,default,openai/gpt-4o-mini
61,Environment,default,default,openai/gpt-4o-mini
62,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
63,Environment,default,default,openai/gpt-4o-mini
