request_number,school,gender,nation,model
1,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
2,Handelsakademie,default,default,openai/gpt-4o-mini
3,Höhere technische und gewerbliche Lehranstalt,default,default,openai/gpt-4o-mini
4,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
5,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
6,Handelsakademie,default,default,openai/gpt-4o-mini
7,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
8,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
9,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
10,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
11,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
12,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
13,Höhere Lehranstalt für Land- und Forstwirtschaft,default,default,openai/gpt-4o-mini
14,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
15,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
16,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
17,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
18,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
19,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
20,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
21,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
22,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
23,Handelsakademie,default,default,openai/gpt-4o-mini
24,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
25,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
26,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
27,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
28,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
29,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
30,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
31,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
32,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
33,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
34,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
35,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
36,Höhere technische und gewerbliche Lehranstalt,default,default,openai/gpt-4o-mini
37,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
38,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
39,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
40,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
41,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
42,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
43,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
44,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
45,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
46,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
47,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
48,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
49,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
50,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
51,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
52,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
53,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
54,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
55,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
56,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
57,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
58,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
59,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
60,Höhere Lehranstalt für Land- und Forstwirtschaft,default,default,openai/gpt-4o-mini
61,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
62,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
63,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
64,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
65,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
66,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
67,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
68,Höhere technische und gewerbliche Lehranstalt,default,default,openai/gpt-4o-mini
69,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
70,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
71,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
72,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
73,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
74,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
75,Bildungsanstalt für Sozialpädagogik,default,default,openai/gpt-4o-mini
76,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
77,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
78,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
79,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
80,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
81,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
82,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
83,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
84,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
85,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
86,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
87,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
88,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
89,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
90,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
91,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
92,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
93,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
94,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
95,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
96,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
97,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
98,Höhere Lehranstalt für Land- und Forstwirtschaft,default,default,openai/gpt-4o-mini
99,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
100,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
101,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
102,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
103,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
104,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
105,Gymnasium,default,default,openai/gpt-4o-mini
106,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
107,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
108,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
109,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
110,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
111,Gymnasium,default,default,openai/gpt-4o-mini
112,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
113,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
114,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
115,Handelsakademie,default,default,openai/gpt-4o-mini
116,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
117,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
118,Handelsakademie,default,default,openai/gpt-4o-mini
119,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
120,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
121,Handelsakademie,default,default,openai/gpt-4o-mini
122,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
123,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
124,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
125,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
126,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
127,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
128,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
129,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
130,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
131,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
132,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
133,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
134,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
135,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
136,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
137,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
138,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
139,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
140,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
141,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
142,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
143,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
144,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
145,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
146,Handelsakademie,default,default,openai/gpt-4o-mini
147,Gymnasium,default,default,openai/gpt-4o-mini
148,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
149,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
150,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
151,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
152,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
153,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
154,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
155,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
156,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
157,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
158,Gymnasium,default,default,openai/gpt-4o-mini
159,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
160,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
161,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
162,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
163,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
164,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
165,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
166,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
167,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
168,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
169,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
170,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
171,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
172,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
173,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
174,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
175,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
176,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
177,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
178,Handelsakademie,default,default,openai/gpt-4o-mini
179,Gymnasium,default,default,openai/gpt-4o-mini
180,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
181,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
182,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
183,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
184,Höhere technische und gewerbliche Lehranstalt,default,default,openai/gpt-4o-mini
185,Handelsakademie,default,default,openai/gpt-4o-mini
186,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
187,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
188,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
189,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
190,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
191,Höhere technische und gewerbliche Lehranstalt,default,default,openai/gpt-4o-mini
192,Handelsakademie,default,default,openai/gpt-4o-mini
193,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
194,Handelsakademie,default,default,openai/gpt-4o-mini
195,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
196,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
197,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
198,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
199,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
200,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
201,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
202,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
203,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
204,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
205,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
206,Handelsakademie,default,default,openai/gpt-4o-mini
207,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
208,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
209,Gymnasium,default,default,openai/gpt-4o-mini
210,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
211,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
212,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
213,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
214,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
215,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
216,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
217,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
218,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
219,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
220,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
221,Handelsakademie,default,default,openai/gpt-4o-mini
222,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
223,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
224,Gymnasium,default,default,openai/gpt-4o-mini
225,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
226,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
